DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2], Active width mean [%]
DoD_1-0_filt_ult_gis.txt, 33256.000, 22346.500, 51675.700, -29329.200, 17312.000, 0.519, 
DoD_2-0_filt_ult_gis.txt, 33388.000, 19702.000, 62722.300, -43020.300, 19108.000, 0.573, 
DoD_2-1_filt_ult_gis.txt, 33159.000, -901.600, 36362.800, -37264.400, 15782.000, 0.473, 
DoD_3-0_filt_ult_gis.txt, 33019.000, 23908.800, 71513.300, -47604.500, 21864.000, 0.655, 
DoD_3-1_filt_ult_gis.txt, 32884.000, 2662.600, 51523.300, -48860.700, 19358.000, 0.580, 
DoD_3-2_filt_ult_gis.txt, 33003.000, 4253.200, 40942.400, -36689.200, 16582.000, 0.497, 
DoD_4-0_filt_ult_gis.txt, 33362.000, 12007.500, 74221.700, -62214.200, 22467.000, 0.673, 
DoD_4-1_filt_ult_gis.txt, 33112.000, -10660.200, 54097.400, -64757.600, 21226.000, 0.636, 
DoD_4-2_filt_ult_gis.txt, 33278.000, -8415.800, 48272.300, -56688.100, 19719.000, 0.591, 
DoD_4-3_filt_ult_gis.txt, 32955.000, -11711.300, 30900.500, -42611.800, 17161.000, 0.514, 
DoD_5-0_filt_ult_gis.txt, 33376.000, 11878.600, 82396.600, -70518.000, 22912.000, 0.687, 
DoD_5-1_filt_ult_gis.txt, 33170.000, -10035.200, 64604.900, -74640.100, 22615.000, 0.678, 
DoD_5-2_filt_ult_gis.txt, 33324.000, -7733.700, 61884.700, -69618.400, 21312.000, 0.639, 
DoD_5-3_filt_ult_gis.txt, 32976.000, -11211.500, 49266.300, -60477.800, 19526.000, 0.585, 
DoD_5-4_filt_ult_gis.txt, 33300.000, 796.800, 40115.600, -39318.800, 16006.000, 0.480, 
DoD_6-0_filt_ult_gis.txt, 33480.000, 14345.500, 89704.800, -75359.300, 23903.000, 0.717, 
DoD_6-1_filt_ult_gis.txt, 33230.000, -8671.800, 71647.100, -80318.900, 23334.000, 0.699, 
DoD_6-2_filt_ult_gis.txt, 33376.000, -6446.800, 70363.000, -76809.800, 22634.000, 0.678, 
DoD_6-3_filt_ult_gis.txt, 33025.000, -9614.200, 65340.800, -74955.000, 21953.000, 0.658, 
DoD_6-4_filt_ult_gis.txt, 33375.000, 2585.600, 61341.700, -58756.100, 19743.000, 0.592, 
DoD_6-5_filt_ult_gis.txt, 33424.000, 1878.100, 46323.300, -44445.200, 17209.000, 0.516, 
DoD_7-0_filt_ult_gis.txt, 33319.000, -645.500, 88187.300, -88832.800, 24622.000, 0.738, 
DoD_7-1_filt_ult_gis.txt, 33086.000, -23279.500, 73842.100, -97121.600, 24883.000, 0.746, 
DoD_7-2_filt_ult_gis.txt, 33237.000, -20873.500, 74381.300, -95254.800, 23961.000, 0.718, 
DoD_7-3_filt_ult_gis.txt, 32899.000, -24151.600, 69067.700, -93219.300, 23264.000, 0.697, 
DoD_7-4_filt_ult_gis.txt, 33242.000, -11230.700, 65613.500, -76844.200, 20797.000, 0.623, 
DoD_7-5_filt_ult_gis.txt, 33299.000, -10765.400, 56991.500, -67756.900, 18979.000, 0.569, 
DoD_7-6_filt_ult_gis.txt, 33370.000, -11954.300, 34933.500, -46887.800, 16132.000, 0.484, 
DoD_8-0_filt_ult_gis.txt, 33296.000, 1363.000, 92938.200, -91575.200, 25288.000, 0.758, 
DoD_8-1_filt_ult_gis.txt, 33049.000, -22025.600, 80483.800, -102509.400, 25231.000, 0.756, 
DoD_8-2_filt_ult_gis.txt, 33214.000, -18895.800, 83623.200, -102519.000, 24848.000, 0.745, 
DoD_8-3_filt_ult_gis.txt, 32858.000, -22769.900, 79075.000, -101844.900, 24158.000, 0.724, 
DoD_8-4_filt_ult_gis.txt, 33217.000, -9913.700, 77787.600, -87701.300, 22248.000, 0.667, 
DoD_8-5_filt_ult_gis.txt, 33256.000, -8829.900, 67941.100, -76771.000, 21011.000, 0.630, 
DoD_8-6_filt_ult_gis.txt, 33346.000, -10542.000, 52098.600, -62640.600, 19149.000, 0.574, 
DoD_8-7_filt_ult_gis.txt, 33228.000, 1592.300, 37835.000, -36242.700, 15008.000, 0.450, 
DoD_9-0_filt_ult_gis.txt, 33367.000, -7662.000, 92877.800, -100539.800, 26267.000, 0.787, 
DoD_9-1_filt_ult_gis.txt, 33152.000, -30544.000, 83746.100, -114290.100, 26589.000, 0.797, 
DoD_9-2_filt_ult_gis.txt, 33313.000, -27942.400, 86567.600, -114510.000, 25927.000, 0.777, 
DoD_9-3_filt_ult_gis.txt, 32996.000, -31251.000, 83288.100, -114539.100, 25848.000, 0.775, 
DoD_9-4_filt_ult_gis.txt, 33288.000, -17584.600, 84643.200, -102227.800, 24290.000, 0.728, 
DoD_9-5_filt_ult_gis.txt, 33350.000, -17076.700, 75571.400, -92648.100, 22055.000, 0.661, 
DoD_9-6_filt_ult_gis.txt, 33404.000, -18720.600, 60998.500, -79719.100, 21370.000, 0.641, 
DoD_9-7_filt_ult_gis.txt, 33279.000, -4749.500, 50055.200, -54804.700, 17071.000, 0.512, 
DoD_9-8_filt_ult_gis.txt, 33246.000, -6750.800, 33275.000, -40025.800, 14669.000, 0.440, 
