Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.000,0.000,0
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.000,0.000,0
-3.500,-3.400,0.000,0.000,0
-3.400,-3.300,0.000,0.000,0
-3.300,-3.200,0.000,0.000,0
-3.200,-3.100,0.000,0.000,0
-3.100,-3.000,0.250,0.755,1
-3.000,-2.900,0.000,0.000,0
-2.900,-2.800,0.500,1.431,2
-2.800,-2.700,1.000,2.733,4
-2.700,-2.600,2.500,6.598,10
-2.600,-2.500,0.750,1.904,3
-2.500,-2.400,2.250,5.518,9
-2.400,-2.300,1.750,4.111,7
-2.300,-2.200,1.500,3.358,6
-2.200,-2.100,3.750,8.032,15
-2.100,-2.000,4.750,9.768,19
-2.000,-1.900,4.000,7.796,16
-1.900,-1.800,5.500,10.215,22
-1.800,-1.700,7.750,13.583,31
-1.700,-1.600,10.250,16.889,41
-1.600,-1.500,17.250,26.555,69
-1.500,-1.400,70.000,101.021,280
-1.400,-1.300,146.750,197.676,587
-1.300,-1.200,189.000,235.824,756
-1.200,-1.100,260.500,298.472,1042
-1.100,-1.000,472.000,492.612,1888
-1.000,-0.900,701.000,664.297,2804
-0.900,-0.800,1285.750,1085.007,5143
-0.800,-0.700,2461.000,1835.051,9844
-0.700,-0.600,4008.500,2590.532,16034
-0.600,-0.500,6039.500,3299.803,24158
-0.500,-0.400,9176.000,4089.770,36704
-0.400,-0.300,14981.750,5189.206,59927
-0.300,-0.200,25482.500,6229.900,101930
-0.200,-0.100,55000.500,7865.587,220002
-0.100,0.000,155483.500,6520.159,621934
0.000,0.100,214475.750,9205.918,857903
0.100,0.200,67391.000,9609.405,269564
0.200,0.300,29703.500,7266.965,118814
0.300,0.400,17054.250,5901.585,68217
0.400,0.500,10647.500,4754.523,42590
0.500,0.600,6704.500,3649.125,26818
0.600,0.700,3818.000,2467.536,15272
0.700,0.800,2460.750,1835.094,9843
0.800,0.900,1386.750,1169.437,5547
0.900,1.000,474.000,444.991,1896
1.000,1.100,271.750,285.362,1087
1.100,1.200,250.000,286.816,1000
1.200,1.300,153.250,190.269,613
1.300,1.400,76.750,103.602,307
1.400,1.500,59.500,85.918,238
1.500,1.600,29.750,45.986,119
1.600,1.700,19.000,31.391,76
1.700,1.800,14.000,24.439,56
1.800,1.900,11.000,20.338,44
1.900,2.000,11.000,21.435,44
2.000,2.100,7.250,14.865,29
2.100,2.200,3.250,6.953,13
2.200,2.300,1.250,2.807,5
2.300,2.400,0.250,0.582,1
2.400,2.500,0.250,0.624,1
2.500,2.600,0.250,0.638,1
2.600,2.700,0.000,0.000,0
2.700,2.800,0.000,0.000,0
2.800,2.900,0.000,0.000,0
2.900,3.000,0.000,0.000,0
3.000,3.100,0.000,0.000,0
3.100,3.200,0.000,0.000,0
3.200,3.300,0.000,0.000,0
3.300,3.400,0.000,0.000,0
3.400,3.500,0.000,0.000,0
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
