Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.000,0.000,0
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.000,0.000,0
-3.500,-3.400,0.000,0.000,0
-3.400,-3.300,0.000,0.000,0
-3.300,-3.200,0.000,0.000,0
-3.200,-3.100,0.000,0.000,0
-3.100,-3.000,0.500,1.540,2
-3.000,-2.900,1.000,2.918,4
-2.900,-2.800,0.500,1.438,2
-2.800,-2.700,1.000,2.750,4
-2.700,-2.600,1.250,3.273,5
-2.600,-2.500,1.500,3.821,6
-2.500,-2.400,2.500,6.096,10
-2.400,-2.300,3.750,8.798,15
-2.300,-2.200,9.000,20.160,36
-2.200,-2.100,11.500,24.735,46
-2.100,-2.000,15.250,31.103,61
-2.000,-1.900,29.000,56.498,116
-1.900,-1.800,36.250,67.050,145
-1.800,-1.700,59.750,104.410,239
-1.700,-1.600,76.500,125.826,306
-1.600,-1.500,233.250,359.292,933
-1.500,-1.400,502.750,726.566,2011
-1.400,-1.300,956.500,1287.122,3826
-1.300,-1.200,1759.500,2193.667,7038
-1.200,-1.100,2045.000,2354.013,8180
-1.100,-1.000,1731.500,1815.216,6926
-1.000,-0.900,2637.750,2494.725,10551
-0.900,-0.800,4188.250,3537.327,16753
-0.800,-0.700,7519.000,5609.424,30076
-0.700,-0.600,12066.250,7807.534,48265
-0.600,-0.500,17711.250,9678.430,70845
-0.500,-0.400,23579.250,10554.927,94317
-0.400,-0.300,30305.250,10527.042,121221
-0.300,-0.200,43039.750,10655.184,172159
-0.200,-0.100,48659.250,7358.883,194637
-0.100,0.000,1681.000,160.320,6724
0.000,0.100,2424.500,231.509,9698
0.100,0.200,75490.000,11365.294,301960
0.200,0.300,54147.000,13297.023,216588
0.300,0.400,31229.250,10786.337,124917
0.400,0.500,19390.750,8661.791,77563
0.500,0.600,12423.250,6773.928,49693
0.600,0.700,7470.250,4825.286,29881
0.700,0.800,4060.250,3015.659,16241
0.800,0.900,1695.750,1430.679,6783
0.900,1.000,794.750,749.107,3179
1.000,1.100,264.500,275.316,1058
1.100,1.200,100.750,115.393,403
1.200,1.300,47.000,58.457,188
1.300,1.400,27.250,36.734,109
1.400,1.500,22.000,31.856,88
1.500,1.600,14.750,22.782,59
1.600,1.700,10.500,17.317,42
1.700,1.800,5.500,9.624,22
1.800,1.900,7.250,13.493,29
1.900,2.000,6.500,12.670,26
2.000,2.100,6.000,12.365,24
2.100,2.200,4.500,9.688,18
2.200,2.300,4.000,9.055,16
2.300,2.400,3.000,7.097,12
2.400,2.500,3.750,9.144,15
2.500,2.600,2.500,6.382,10
2.600,2.700,2.250,5.969,9
2.700,2.800,4.250,11.702,17
2.800,2.900,2.750,7.815,11
2.900,3.000,3.250,9.625,13
3.000,3.100,2.250,6.857,9
3.100,3.200,3.250,10.253,13
3.200,3.300,2.750,8.938,11
3.300,3.400,2.250,7.508,9
3.400,3.500,0.250,0.851,1
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
