Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.000,0.000,0
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.000,0.000,0
-3.500,-3.400,0.000,0.000,0
-3.400,-3.300,0.000,0.000,0
-3.300,-3.200,0.000,0.000,0
-3.200,-3.100,0.000,0.000,0
-3.100,-3.000,0.250,0.755,1
-3.000,-2.900,0.000,0.000,0
-2.900,-2.800,0.500,1.431,2
-2.800,-2.700,1.000,2.733,4
-2.700,-2.600,2.500,6.598,10
-2.600,-2.500,0.750,1.904,3
-2.500,-2.400,2.250,5.518,9
-2.400,-2.300,1.750,4.111,7
-2.300,-2.200,1.500,3.358,6
-2.200,-2.100,3.750,8.032,15
-2.100,-2.000,4.750,9.768,19
-2.000,-1.900,4.000,7.796,16
-1.900,-1.800,5.500,10.215,22
-1.800,-1.700,8.000,14.032,32
-1.700,-1.600,10.750,17.698,43
-1.600,-1.500,17.750,27.336,71
-1.500,-1.400,70.000,101.021,280
-1.400,-1.300,147.750,199.006,591
-1.300,-1.200,189.500,236.447,758
-1.200,-1.100,261.750,299.900,1047
-1.100,-1.000,472.500,493.106,1890
-1.000,-0.900,702.250,665.577,2809
-0.900,-0.800,1287.750,1086.696,5151
-0.800,-0.700,2465.000,1838.103,9860
-0.700,-0.600,4016.500,2595.662,16066
-0.600,-0.500,6052.250,3306.734,24209
-0.500,-0.400,9217.750,4108.362,36871
-0.400,-0.300,15035.250,5207.727,60141
-0.300,-0.200,24899.000,6105.731,99596
-0.200,-0.100,39609.000,5883.743,158436
-0.100,0.000,1588.000,151.507,6352
0.000,0.100,2188.250,208.852,8753
0.100,0.200,50490.500,7438.261,201962
0.200,0.300,29082.750,7138.550,116331
0.300,0.400,17041.250,5897.378,68165
0.400,0.500,10703.500,4779.868,42814
0.500,0.600,6751.500,3674.635,27006
0.600,0.700,3835.000,2478.493,15340
0.700,0.800,2467.000,1839.737,9868
0.800,0.900,1390.500,1172.571,5562
0.900,1.000,475.000,445.912,1900
1.000,1.100,272.000,285.632,1088
1.100,1.200,249.500,286.232,998
1.200,1.300,153.250,190.269,613
1.300,1.400,76.500,103.274,306
1.400,1.500,59.750,86.288,239
1.500,1.600,30.250,46.750,121
1.600,1.700,19.000,31.391,76
1.700,1.800,14.000,24.439,56
1.800,1.900,11.000,20.338,44
1.900,2.000,11.000,21.435,44
2.000,2.100,7.250,14.865,29
2.100,2.200,3.250,6.953,13
2.200,2.300,1.250,2.807,5
2.300,2.400,0.250,0.582,1
2.400,2.500,0.250,0.624,1
2.500,2.600,0.250,0.638,1
2.600,2.700,0.000,0.000,0
2.700,2.800,0.000,0.000,0
2.800,2.900,0.000,0.000,0
2.900,3.000,0.000,0.000,0
3.000,3.100,0.000,0.000,0
3.100,3.200,0.000,0.000,0
3.200,3.300,0.000,0.000,0
3.300,3.400,0.000,0.000,0
3.400,3.500,0.000,0.000,0
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
