Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-2.000,-1.950,0.000,0.000,0
-1.950,-1.900,0.500,0.956,2
-1.900,-1.850,0.000,0.000,0
-1.850,-1.800,0.750,1.358,3
-1.800,-1.750,1.750,3.105,7
-1.750,-1.700,3.750,6.456,15
-1.700,-1.650,8.250,13.800,33
-1.650,-1.600,12.000,19.497,48
-1.600,-1.550,25.000,39.314,100
-1.550,-1.500,38.500,58.659,154
-1.500,-1.450,50.000,73.724,200
-1.450,-1.400,71.750,102.039,287
-1.400,-1.350,89.250,122.695,357
-1.350,-1.300,103.750,137.418,415
-1.300,-1.250,137.500,175.264,550
-1.250,-1.200,179.500,219.764,718
-1.200,-1.150,213.500,250.910,854
-1.150,-1.100,298.500,335.189,1194
-1.100,-1.050,395.500,424.342,1582
-1.050,-1.000,497.750,509.887,1991
-1.000,-0.950,584.250,569.039,2337
-0.950,-0.900,682.750,631.115,2731
-0.900,-0.850,843.000,736.767,3372
-0.850,-0.800,1202.000,990.113,4808
-0.800,-0.750,1607.750,1243.970,6431
-0.750,-0.700,2231.500,1615.209,8926
-0.700,-0.650,2900.250,1956.291,11601
-0.650,-0.600,3289.000,2052.677,13156
-0.600,-0.550,3870.000,2223.058,15480
-0.550,-0.500,4637.500,2430.693,18550
-0.500,-0.450,5610.250,2660.302,22441
-0.450,-0.400,6686.750,2836.834,26747
-0.400,-0.350,7935.250,2970.535,31741
-0.350,-0.300,9514.250,3084.033,38057
-0.300,-0.250,11677.500,3204.652,46710
-0.250,-0.200,15277.500,3415.523,61110
-0.200,-0.150,21150.000,3671.026,84600
-0.150,-0.100,30915.500,3811.480,123662
-0.100,-0.050,51971.250,3751.723,207885
-0.050,0.000,175314.750,3350.871,701259
0.000,0.050,520908.250,4608.842,2083633
0.050,0.100,77987.500,5592.118,311950
0.100,0.150,41713.000,5130.216,166852
0.150,0.200,27737.750,4817.669,110951
0.200,0.250,20353.500,4550.987,81414
0.250,0.300,13855.000,3784.908,55420
0.300,0.350,9851.750,3189.448,39407
0.350,0.400,7230.500,2703.061,28922
0.400,0.450,5453.500,2309.588,21814
0.450,0.500,3855.000,1826.918,15420
0.500,0.550,3243.750,1701.412,12975
0.550,0.600,2615.000,1500.483,10460
0.600,0.650,1927.250,1202.583,7709
0.650,0.700,1562.750,1054.108,6251
0.700,0.750,1171.250,847.646,4685
0.750,0.800,730.000,564.130,2920
0.800,0.850,467.000,384.421,1868
0.850,0.900,287.000,250.671,1148
0.900,0.950,192.250,177.360,769
0.950,1.000,105.500,102.613,422
1.000,1.050,62.250,63.687,249
1.050,1.100,46.000,49.404,184
1.100,1.150,28.000,31.510,112
1.150,1.200,14.250,16.735,57
1.200,1.250,7.750,9.478,31
1.250,1.300,6.250,7.984,25
1.300,1.350,6.000,7.921,24
1.350,1.400,3.000,4.124,12
1.400,1.450,3.000,4.273,12
1.450,1.500,1.500,2.208,6
1.500,1.550,1.750,2.661,7
1.550,1.600,2.250,3.535,9
1.600,1.650,0.000,0.000,0
1.650,1.700,0.500,0.840,2
1.700,1.750,0.750,1.302,3
1.750,1.800,0.000,0.000,0
1.800,1.850,0.250,0.455,1
1.850,1.900,0.000,0.000,0
1.900,1.950,0.000,0.000,0
1.950,2.000,0.250,0.494,1
